SortOrder,GRM,ValueType,Al_pct_ICP60,Ca_pct_ICP60,Fe_pct_ICP60,K_pct_ICP60,Mg_pct_ICP60,P_pct_ICP60,S_pct_ICP60,Si_pct_ICP60,Ti_pct_ICP60,Ag_ppm_ICP60,As_ppm_ICP60,B_ppm_ICP60,Ba_ppm_ICP60,Be_ppm_ICP60,Bi_ppm_ICP60,Cd_ppm_ICP60,Ce_ppm_ICP60,Co_ppm_ICP60,Cr_ppm_ICP60,Cs_ppm_ICP60,Cu_ppm_ICP60,Dy_ppm_ICP60,Er_ppm_ICP60,Eu_ppm_ICP60,Ga_ppm_ICP60,Gd_ppm_ICP60,Ge_ppm_ICP60,Hf_ppm_ICP60,Ho_ppm_ICP60,In_ppm_ICP60,La_ppm_ICP60,Li_ppm_ICP60,Lu_ppm_ICP60,Mn_ppm_ICP60,Mo_ppm_ICP60,Nb_ppm_ICP60,Nd_ppm_ICP60,Ni_ppm_ICP60,Pb_ppm_ICP60,Pr_ppm_ICP60,Rb_ppm_ICP60,Re_ppm_ICP60,Sb_ppm_ICP60,Sc_ppm_ICP60,Se_ppm_ICP60,Sm_ppm_ICP60,Sn_ppm_ICP60,Sr_ppm_ICP60,Ta_ppm_ICP60,Tb_ppm_ICP60,Te_ppm_ICP60,Th_ppm_ICP60,Tl_ppm_ICP60,Tm_ppm_ICP60,U_ppm_ICP60,V_ppm_ICP60,W_ppm_ICP60,Y_ppm_ICP60,Yb_ppm_ICP60,Zn_ppm_ICP60,Zr_ppm_ICP60,Al_pct_AR,Ca_pct_AR,Fe_pct_AR,K_pct_AR,Mg_pct_AR,Na_pct_AR,S_pct_AR,Ti_pct_AR,Ag_ppm_AR,As_ppm_AR,Au_ppm_AR,B_ppm_AR,Ba_ppm_AR,Be_ppm_AR,Bi_ppm_AR,Cd_ppm_AR,Ce_ppm_AR,Co_ppm_AR,Cr_ppm_AR,Cs_ppm_AR,Cu_ppm_AR,Ga_ppm_AR,Ge_ppm_AR,Hf_ppm_AR,Hg_ppm_AR,In_ppm_AR,La_ppm_AR,Li_ppm_AR,Mn_ppm_AR,Mo_ppm_AR,Nb_ppm_AR,Ni_ppm_AR,P_ppm_AR,Pb_ppm_AR,Rb_ppm_AR,Re_ppm_AR,Sb_ppm_AR,Sc_ppm_AR,Se_ppm_AR,Sn_ppm_AR,Sr_ppm_AR,Ta_ppm_AR,Te_ppm_AR,Th_ppm_AR,Tl_ppm_AR,U_ppm_AR,V_ppm_AR,W_ppm_AR,Y_ppm_AR,Zn_ppm_AR,Zr_ppm_AR,Au_ppb_FA,Pd_ppb_FA,Pt_ppb_FA,Al2O3_pct_WDX,BaO_pct_WDX,CaO_pct_WDX,Cr2O3_pct_WDX,Fe2O3_pct_WDX,K2O_pct_WDX,LOI_pct_WDX,MgO_pct_WDX,MnO_pct_WDX,Na2O_pct_WDX,P2O5_pct_WDX,SiO2_pct_WDX,SrO_pct_WDX,TiO2_pct_WDX,V2O5_pct_WDX,F_pct_ISE,S_pct_IR,C_pct_IR,CO2_pct_CARB,CRBNT_pct_CARB,Hg_ppm_CVAAS,Organic_C_pct_C,Al2O3_pct_ICP16,Ba_ppm_ICP16,CaO_pct_ICP16,Cr2O3_pct_ICP16,Fe2O3_pct_ICP16,K2O_pct_ICP16,MgO_pct_ICP16,MnO_pct_ICP16,Na2O_pct_ICP16,P2O5_pct_ICP16,SiO2_pct_ICP16,Sr_ppm_ICP16,TiO2_pct_ICP16,V2O5_pct_ICP16,Au_ppm_FA_ORE,Pd_ppm_FA_ORE,Pt_ppm_FA_ORE,Ag_ppm_ICP42C,As_ppm_ICP42C,Be_ppm_ICP42C,Bi_ppm_ICP42C,Cd_ppm_ICP42C,Co_ppm_ICP42C,Cu_ppm_ICP42C,Li_ppm_ICP42C,Mo_ppm_ICP42C,Na_ppm_ICP42C,Ni_ppm_ICP42C,P_ppm_ICP42C,Pb_ppm_ICP42C,Sb_ppm_ICP42C,Se_ppm_ICP42C,Sn_ppm_ICP42C,Tl_ppm_ICP42C,Y_ppm_ICP42C,Zn_ppm_ICP42C,Ce_ppm_ICPREE,Dy_ppm_ICPREE,Er_ppm_ICPREE,Eu_ppm_ICPREE,Gd_ppm_ICPREE,Ho_ppm_ICPREE,La_ppm_ICPREE,Lu_ppm_ICPREE,Nd_ppm_ICPREE,Pr_ppm_ICPREE,Sm_ppm_ICPREE,Tb_ppm_ICPREE,Th_ppm_ICPREE,Tm_ppm_ICPREE,U_ppm_ICPREE,Yb_ppm_ICPREE,Co_pct_WDXRFBM,Cu_pct_WDXRFBM,Fe_pct_WDXRFBM,Ni_pct_WDXRFBM,Pb_pct_WDXRFBM,Zn_pct_WDXRFBM,Au_ppb_PGE,Ir_ppb_PGE,Pd_ppb_PGE,Pt_ppb_PGE,Re_ppb_PGE,Rh_ppb_PGE,Ru_ppb_PGE,Ag_ppb_H2O,Al_ppb_H2O,As_ppb_H2O,Au_ppb_H2O,B_ppb_H2O,Ba_ppb_H2O,Be_ppb_H2O,Bi_ppb_H2O,Ca_ppb_H2O,Cd_ppb_H2O,Ce_ppb_H2O,Co_ppb_H2O,Cr_ppb_H2O,Cs_ppb_H2O,Cu_ppb_H2O,Dy_ppb_H2O,Er_ppb_H2O,Eu_ppb_H2O,Fe_ppb_H2O,Ga_ppb_H2O,Gd_ppb_H2O,Ge_ppb_H2O,Hf_ppb_H2O,Hg_ppb_H2O,Ho_ppb_H2O,In_ppb_H2O,K_ppb_H2O,La_ppb_H2O,Li_ppb_H2O,Lu_ppb_H2O,Mg_ppb_H2O,Mn_ppb_H2O,Mo_ppb_H2O,Na_ppb_H2O,Nb_ppb_H2O,Nd_ppb_H2O,Ni_ppb_H2O,P_ppb_H2O,Pb_ppb_H2O,Pr_ppb_H2O,Rb_ppb_H2O,Re_ppb_H2O,S_ppb_H2O,Sb_ppb_H2O,Sc_ppb_H2O,Se_ppb_H2O,Si_ppb_H2O,Sm_ppb_H2O,Sn_ppb_H2O,Sr_ppb_H2O,Ta_ppb_H2O,Tb_ppb_H2O,Te_ppb_H2O,Th_ppb_H2O,Ti_ppb_H2O,Tl_ppb_H2O,Tm_ppb_H2O,U_ppb_H2O,V_ppb_H2O,W_ppb_H2O,Y_ppb_H2O,Yb_ppb_H2O,Zn_ppb_H2O,Zr_ppb_H2O,Ag_ppb_ICPH2O,Al_ppb_ICPH2O,As_ppb_ICPH2O,Au_ppb_ICPH2O,B_ppb_ICPH2O,Ba_ppb_ICPH2O,Be_ppb_ICPH2O,Bi_ppb_ICPH2O,Ca_ppb_ICPH2O,Cd_ppb_ICPH2O,Ce_ppb_ICPH2O,Co_ppb_ICPH2O,Cr_ppb_ICPH2O,Cs_ppb_ICPH2O,Cu_ppb_ICPH2O,Dy_ppb_ICPH2O,Er_ppb_ICPH2O,Eu_ppb_ICPH2O,Fe_ppb_ICPH2O,Ga_ppb_ICPH2O,Gd_ppb_ICPH2O,Ge_ppb_ICPH2O,Hf_ppb_ICPH2O,Hg_ppb_ICPH2O,Ho_ppb_ICPH2O,In_ppb_ICPH2O,K_ppb_ICPH2O,La_ppb_ICPH2O,Li_ppb_ICPH2O,Lu_ppb_ICPH2O,Mg_ppb_ICPH2O,Mn_ppb_ICPH2O,Mo_ppb_ICPH2O,Na_ppb_ICPH2O,Nb_ppb_ICPH2O,Nd_ppb_ICPH2O,Ni_ppb_ICPH2O,P_ppb_ICPH2O,Pb_ppb_ICPH2O,Pr_ppb_ICPH2O,Rb_ppb_ICPH2O,Re_ppb_ICPH2O,S_ppb_ICPH2O,Sb_ppb_ICPH2O,Sc_ppb_ICPH2O,Se_ppb_ICPH2O,Si_ppb_ICPH2O,Sm_ppb_ICPH2O,Sn_ppb_ICPH2O,Sr_ppb_ICPH2O,Ta_ppb_ICPH2O,Tb_ppb_ICPH2O,Te_ppb_ICPH2O,Th_ppb_ICPH2O,Ti_ppb_ICPH2O,Tl_ppb_ICPH2O,Tm_ppb_ICPH2O,U_ppb_ICPH2O,V_ppb_ICPH2O,W_ppb_ICPH2O,Y_ppb_ICPH2O,Yb_ppb_ICPH2O,Zn_ppb_ICPH2O,Zr_ppb_ICPH2O,Al_pct_ICP61,Ca_pct_ICP61,Fe_pct_ICP61,K_pct_ICP61,Mg_pct_ICP61,P_pct_ICP61,S_pct_ICP61,Si_pct_ICP61,Ti_pct_ICP61,Ag_ppm_ICP61,As_ppm_ICP61,B_ppm_ICP61,Ba_ppm_ICP61,Be_ppm_ICP61,Bi_ppm_ICP61,Cd_ppm_ICP61,Ce_ppm_ICP61,Co_ppm_ICP61,Cr_ppm_ICP61,Cs_ppm_ICP61,Cu_ppm_ICP61,Dy_ppm_ICP61,Er_ppm_ICP61,Eu_ppm_ICP61,Ga_ppm_ICP61,Gd_ppm_ICP61,Ge_ppm_ICP61,Hf_ppm_ICP61,Ho_ppm_ICP61,In_ppm_ICP61,La_ppm_ICP61,Li_ppm_ICP61,Lu_ppm_ICP61,Mn_ppm_ICP61,Mo_ppm_ICP61,Nb_ppm_ICP61,Nd_ppm_ICP61,Ni_ppm_ICP61,Pb_ppm_ICP61,Pr_ppm_ICP61,Rb_ppm_ICP61,Re_ppm_ICP61,Sb_ppm_ICP61,Sc_ppm_ICP61,Se_ppm_ICP61,Sm_ppm_ICP61,Sn_ppm_ICP61,Sr_ppm_ICP61,Ta_ppm_ICP61,Tb_ppm_ICP61,Te_ppm_ICP61,Th_ppm_ICP61,Tl_ppm_ICP61,Tm_ppm_ICP61,U_ppm_ICP61,V_ppm_ICP61,W_ppm_ICP61,Y_ppm_ICP61,Yb_ppm_ICP61,Zn_ppm_ICP61,Zr_ppm_ICP61
22,DGPM-3,Mean,4.67,0.16,0.9,0.89,0.19,0.01,0.24,>30,0.35,2.67,70.68,68.91,783.09,<5,0.15,<0.2,23.36,0.77,117.88,10.59,12.94,2.59,1.67,0.44,11.12,2.08,1.29,12.06,0.57,<0.2,16.07,51.29,0.26,20.4,11.26,10.18,8.47,20.48,7.83,2.41,51.57,<0.02,3.68,8.12,1.5,1.77,2.48,38.25,0.66,0.38,<1,7.32,13.53,0.26,2.61,77.24,93.82,20.82,1.6,8.76,449.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503.83,15.83,24.67,8.97,0.09,0.16,<0.01,1.28,1.04,4.31,0.34,<0.01,0.06,0.04,82.97,,0.61,0.02,,0.24,0.11,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,0.16,0.9,0.89,0.19,0.01,0.24,>30,0.35,2.67,70.68,68.91,783.09,<5,0.15,<0.2,23.36,0.77,117.88,10.59,12.94,2.59,1.67,0.44,11.12,2.08,1.29,12.06,0.57,<0.2,16.07,51.29,0.26,20.4,11.26,10.18,8.47,20.48,7.83,2.41,51.57,<0.02,3.68,8.12,1.5,1.77,2.48,38.25,0.66,0.38,<1,7.32,13.53,0.26,2.61,77.24,93.82,20.82,1.6,8.76,449.03
23,DNC-1,Preferred,9.71,8.21,6.97,0.19,6.11,0.03,0.05,22.04,0.29,<1,<5,<10,118,<5,<0.1,<0.2,8.28,57,270,0.26,100,3,1.97,0.59,15,2,1,1,0.62,<0.2,3.6,<10,0.32,1162,<2,3,5.2,247,6.3,1.13,4.5,,0.96,31,,1.44,2,144,<0.5,0.41,<0.5,0.3,<0.5,0.31,0.09,148,<1,18,2,70,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.34,0.01,11.49,0.04,9.97,0.234,0.49,10.13,0.15,1.89,0.07,47.15,,0.48,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.71,8.21,6.97,0.19,6.11,0.03,0.05,22.04,0.29,<1,<5,<10,118,<5,<0.1,<0.2,8.28,57,270,0.26,100,3,1.97,0.59,15,2,1,1,0.62,<0.2,3.6,<10,0.32,1162,<2,3,5.2,247,6.3,1.13,4.5,,0.96,31,,1.44,2,144,<0.5,0.41,<0.5,0.3,<0.5,0.31,0.09,148,<1,18,2,70,38
24,DNC-1,Mean,9.51,7.8,6.79,0.22,6.04,0.03,0.05,22.5,0.29,<1,<30,<10,101.83,<5,0.3,<0.2,8.28,58.89,286.21,0.26,96.66,2.81,1.97,0.61,14.31,2.14,1.21,1,0.65,<0.2,3.84,<10,0.32,1143,<2,1.43,4.99,265.31,8.46,1.18,3.8,<0.02,0.99,29.41,<1,1.45,1.81,146.34,<0.5,0.41,<0.5,0.26,<0.5,0.31,0.09,152.83,<1,16.82,1.94,64.72,34.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.54,0.01,11.45,0.04,10.04,0.23,0.49,10.14,0.14,1.9,0.06,47.09,,0.49,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.51,7.8,6.79,0.22,6.04,0.03,0.05,22.5,0.29,<1,<30,<10,101.83,<5,0.3,<0.2,8.28,58.89,286.21,0.26,96.66,2.81,1.97,0.61,14.31,2.14,1.21,1,0.65,<0.2,3.84,<10,0.32,1143,<2,1.43,4.99,265.31,8.46,1.18,3.8,<0.02,0.99,29.41,<1,1.45,1.81,146.34,<0.5,0.41,<0.5,0.26,<0.5,0.31,0.09,152.83,<1,16.82,1.94,64.72,34.89
25,DNC-1a,Preferred,9.71,8.21,6.97,0.19,6.11,0.03,0.05,22.04,0.29,<1,<5,<10,118,<5,<0.1,<0.2,8.28,57,270,0.26,100,3,1.97,0.59,15,2,1,1,0.62,<0.2,3.6,<10,0.32,1162,<2,3,5.2,247,6.3,1.13,4.5,,1,31,,1.44,2,144,<0.5,0.41,<0.05,0.3,<0.5,0.31,0.09,148,<1,18,2,70,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,0.01,11.49,0.04,9.97,0.23,0.49,10.1,0.15,1.89,0.07,47.2,,0.48,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.71,8.21,6.97,0.19,6.11,0.03,0.05,22.04,0.29,<1,<5,<10,118,<5,<0.1,<0.2,8.28,57,270,0.26,100,3,1.97,0.59,15,2,1,1,0.62,<0.2,3.6,<10,0.32,1162,<2,3,5.2,247,6.3,1.13,4.5,,1,31,,1.44,2,144,<0.5,0.41,<0.05,0.3,<0.5,0.31,0.09,148,<1,18,2,70,38
26,DNC-1a,Mean,9.84,7.8,6.79,0.22,6.04,0.03,0.05,22.5,0.29,<1,<30,<10,101.83,<5,0.3,<0.2,8.28,58.9,286.21,0.26,96.7,2.81,1.97,0.61,14.3,2.14,1.21,1,0.65,<0.2,3.84,<10,0.32,1143,<2,1.43,5,265.31,8.46,1.13,3.8,<0.02,1,29.41,<1,1.44,1.8,146.34,<0.5,0.41,<0.05,0.26,<0.5,0.31,0.09,152.83,<1,16.82,1.94,64.72,34.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.54,<0.01,11.45,0.04,10.04,0.23,0.49,10.1,0.14,1.9,0.06,47.1,,0.49,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84,7.8,6.79,0.22,6.04,0.03,0.05,22.5,0.29,<1,<30,<10,101.83,<5,0.3,<0.2,8.28,58.9,286.21,0.26,96.7,2.81,1.97,0.61,14.3,2.14,1.21,1,0.65,<0.2,3.84,<10,0.32,1143,<2,1.43,5,265.31,8.46,1.13,3.8,<0.02,1,29.41,<1,1.44,1.8,146.34,<0.5,0.41,<0.05,0.26,<0.5,0.31,0.09,152.83,<1,16.82,1.94,64.72,34.89
27,G-2,Preferred,8.15,1.4,1.86,3.72,0.45,0.06,0.01,32.32,0.29,,0.25,2.4,1880,2.5,0.04,,160,4.6,,1.34,11,2.4,0.92,1.4,23,4.3,,7.9,0.4,,89,34,0.11,,,12,55,,30,18,170,,,3.5,0.07,7.2,,478,0.5,0.48,,25,,0.18,,36,0.2,11,0.8,86,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39,,1.96,,2.66,4.48,,0.75,0.03,4.08,0.14,69.14,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15,1.4,1.86,3.72,0.45,0.06,0.01,32.32,0.29,,0.25,2.4,1880,2.5,0.04,,160,4.6,,1.34,11,2.4,0.92,1.4,23,4.3,,7.9,0.4,,89,34,0.11,,,12,55,,30,18,170,,,3.5,0.07,7.2,,478,0.5,0.48,,25,,0.18,,36,0.2,11,0.8,86,309
28,G-2,Mean,8.21,1.3,1.83,3.8,0.42,0.05,<0.01,>30,0.29,<1,<5,<10,1903,<5,<0.1,<0.2,176,4.8,<10,1.6,11,2.36,1,1.39,24,4.06,<1,8,0.4,<0.2,93.8,32,0.12,253,<2,12,58.3,7,33,17.32,185,<0.02,<0.1,<5,<1,7.4,1,488,0.7,0.49,<0.05,25.8,0.9,0.13,2.04,34,<1,9.6,0.8,87,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88,0.22,1.86,<0.01,2.92,4.63,0.94,0.75,0.04,3.97,0.13,68.37,0.05,0.48,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21,1.3,1.83,3.8,0.42,0.05,<0.01,>30,0.29,<1,<5,<10,1903,<5,<0.1,<0.2,176,4.8,<10,1.6,11,2.36,1,1.39,24,4.06,<1,8,0.4,<0.2,93.8,32,0.12,253,<2,12,58.3,7,33,17.32,185,<0.02,<0.1,<5,<1,7.4,1,488,0.7,0.49,<0.05,25.8,0.9,0.13,2.04,34,<1,9.6,0.8,87,339
29,G-3,Preferred,8.43,1.31,2,3.79,0.45,0.06,<0.01,32.09,0.29,<1,<5,<10,1942,<5,<0.1,<0.2,167,4.6,19,1.6,15.4,2.17,0.85,1.4,23.55,4.66,1.12,8.4,0.36,<0.2,92.89,31.1,0.11,281,2.2,12.65,54.65,7.07,30.95,17.02,167,,0.18,<5,<0.5,7.4,2.52,465.8,0.96,0.48,,24.44,0.81,0.12,2.14,35.7,<1,9.8,0.75,87,330.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,16.83,6,15.92,0.22,1.83,<0.01,2.87,4.57,0.64,0.75,0.04,3.97,0.14,68.66,,0.48,0.01,0.13,<0.05,0.05,0.1,0.03,0.02,,,,,,,,,,,,,,,,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43,1.31,2,3.79,0.45,0.06,<0.01,32.09,0.29,<1,<5,<10,1942,<5,<0.1,<0.2,167,4.6,19,1.6,15.4,2.17,0.85,1.4,23.55,4.66,1.12,8.4,0.36,<0.2,92.89,31.1,0.11,281,2.2,12.65,54.65,7.07,30.95,17.02,167,,0.18,<5,<0.5,7.4,2.52,465.8,0.96,0.48,,24.44,0.81,0.12,2.14,35.7,<1,9.8,0.75,87,330.5
30,G-3,Mean,8.45,1.32,1.99,3.9,0.44,0.06,0.01,28.9,0.28,<1,<5,16.36,1976.12,<5,<0.1,<0.2,168.12,4.59,18.23,1.58,16.04,2.14,0.91,1.36,24.4,4.08,1,8.64,0.36,<0.2,92.49,33.96,0.1,292.32,2.63,12.44,55.56,13.13,32.32,17.24,168.52,,0.19,<5,<1,7.45,2.25,472.92,0.83,0.46,<0.05,24.45,0.89,0.12,2.12,33.48,<1,9.29,0.73,90.24,337.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,16,<10,15.88,0.23,1.86,<0.01,2.92,4.63,0.64,0.75,0.03,3.97,0.13,68.37,,0.48,<0.01,0.12,0.01,0.04,0.06,0.02,0.01,0.02,,,,,,,,,,,,,,,0.02,0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45,1.32,1.99,3.9,0.44,0.06,0.01,28.9,0.28,<1,<5,16.36,1976.12,<5,<0.1,<0.2,168.12,4.59,18.23,1.58,16.04,2.14,0.91,1.36,24.4,4.08,1,8.64,0.36,<0.2,92.49,33.96,0.1,292.32,2.63,12.44,55.56,13.13,32.32,17.24,168.52,,0.19,<5,<1,7.45,2.25,472.92,0.83,0.46,<0.05,24.45,0.89,0.12,2.12,33.48,<1,9.29,0.73,90.24,337.96
31,GSP-2,Preferred,7.88,1.5,3.43,4.48,0.58,0.13,0.05,31.3,0.4,<1,<5,<10,1340,<5,<0.1,<0.2,410,7.3,20,1.2,43,6.1,2.2,2.3,22,12,1,14,1,<0.2,180,36,0.23,320,2.1,27,200,17,42,51,245,,0.35,6.3,<0.5,27,8,240,0.8,1.3,<0.5,105,1.1,0.29,2.4,52,<1,28,1.6,120,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,4,4,14.9,0.15,2.1,<0.01,4.9,5.38,1.1,0.96,0.04,2.78,0.29,66.6,0.03,0.66,0.01,0.3,0.05,0.08,0.13,0.04,0.03,0.04,14.9,,2.1,,4.9,5.38,0.96,0.04,2.78,0.29,66.6,,0.66,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,1.5,3.43,4.48,0.58,0.13,0.05,31.3,0.4,<1,<5,<10,1340,<5,<0.1,<0.2,410,7.3,20,1.2,43,6.1,2.2,2.3,22,12,1,14,1,<0.2,180,36,0.23,320,2.1,27,200,17,42,51,245,,0.35,6.3,<0.5,27,8,240,0.8,1.3,<0.5,105,1.1,0.29,2.4,52,<1,28,1.6,120,550
32,GSP-2,Mean,7.8,1.5,3.34,4.59,0.56,0.12,0.05,>30,0.39,<1,<30,<10,1331.95,<5,<0.1,<0.2,429.17,7.43,21.11,1.2,45.53,5.78,2.3,2.28,23.55,12.19,1.36,15.42,0.96,<0.2,182.64,38.11,0.25,312,2.9,25.74,203.83,21.61,43.74,55.9,250.38,<0.02,0.5,6.07,,25.71,7.72,246.17,0.79,1.31,<1,111.26,1.36,0.3,2.64,53.64,<1,26.15,1.65,115.37,557.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.24,4,6,14.9,0.18,2.17,<0.01,5,5.4,1.08,1.01,0.03,2.77,0.29,66.73,0.05,0.69,<0.01,0.27,<0.05,0.08,0.13,0.04,0.02,0.04,14.18,,2,,4.75,5.67,0.92,0.04,2.76,0.3,66.81,,0.65,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,1.5,3.34,4.59,0.56,0.12,0.05,>30,0.39,<1,<30,<10,1331.95,<5,<0.1,<0.2,429.17,7.43,21.11,1.2,45.53,5.78,2.3,2.28,23.55,12.19,1.36,15.42,0.96,<0.2,182.64,38.11,0.25,312,2.9,25.74,203.83,21.61,43.74,55.9,250.38,<0.02,0.5,6.07,,25.71,7.72,246.17,0.79,1.31,<1,111.26,1.36,0.3,2.64,53.64,<1,26.15,1.65,115.37,557.13
